year,"last_name, first_name",pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2024,"Thornton, Trent",663423,Mariners,SEA,R,82.1,78,756,6.872727273,0.103174603,CU,Curveball,53.8,-49,4.8,10,9.6,9.4,0.2,2,0.819095477,0.542713568
2024,"Stratton, Chris",608717,Royals,KC,R,91.7,78,716,6.568807339,0.108938547,SI,Sinker,25.3,-23.9,1.5,6,14.2,-14.8,-0.6,-4,0.729241877,0.288808664
2024,"Lynch IV, Daniel",663738,Royals,KC,L,85.2,77,351,3.220183486,0.219373219,SL,Slider,34.2,-36,-1.9,-5,1.7,5.2,-3.5,-67,0.246710526,0.098684211
2024,"Allen, Logan",663531,D-backs,AZ,L,90.1,77,470,4.311926606,0.163829787,SI,Sinker,24,-24.8,-0.7,-3,14.7,-14.6,0.2,1,0.465703971,0.462093863
2024,"Cano, Yennier",666974,Orioles,BAL,R,96.5,77,714,6.550458716,0.107843137,FF,4-Seam Fastball,20.9,-14.7,-6.2,-42,14.6,-8.8,5.8,66,0.007575758,0.98989899
2024,"Strickland, Hunter",519326,Angels,LAA,R,92.7,77,758,7.018518519,0.101583113,SI,Sinker,26.7,-23.7,3,12,15.7,-15,0.8,5,0.844765343,0.610108303
2024,"Rodríguez, Yariel",684320,Blue Jays,TOR,R,77.9,77,717,6.577981651,0.107391911,CU,Curveball,57.5,-55.4,2.1,4,13.4,9.2,4.2,45,0.552763819,0.884422111
2024,"Schwellenbach, Spencer",680885,Braves,ATL,R,94.8,77,884,8.261682243,0.087104072,SI,Sinker,23.8,-22.8,1,5,14.9,-15.2,-0.3,-2,0.671480144,0.324909747
2024,"Contreras, Roansy",672710,Angels,LAA,R,89,77,723,6.694444444,0.106500692,CH,Changeup,23.8,-29.4,-5.6,-19,15.5,-14.4,1.1,7,0.028806584,0.62962963
2024,"Ferguson, Tyler",621053,Athletics,OAK,R,94.6,77,402,3.654545455,0.191542289,SI,Sinker,26.2,-22.5,3.7,17,16,-15.1,1,6,0.888086643,0.678700361
2024,"Kolek, Stephen",663568,Padres,SD,R,88.2,77,797,7.245454545,0.096612296,SL,Slider,34.1,-33.2,0.9,3,3.1,4.2,-1.1,-26,0.608552632,0.414473684
2024,"Anderson, Justin",605121,White Sox,CWS,R,94.7,76,532,4.792792793,0.142857143,SI,Sinker,21.1,-21.4,-0.3,-2,15.6,-14.6,1,7,0.516245487,0.678700361
2024,"Romero, JoJo",668941,Cardinals,STL,L,95,76,659,6.101851852,0.115326252,FF,4-Seam Fastball,17.1,-15.4,-1.7,-11,10,-9.2,0.8,9,0.21969697,0.575757576
2024,"Cano, Yennier",666974,Orioles,BAL,R,87.1,76,714,6.550458716,0.106442577,SL,Slider,35.4,-35.1,0.3,1,7.9,5.1,2.8,54,0.516447368,0.809210526
2024,"Chirinos, Yonny",630023,Marlins,MIA,R,85.7,76,515,4.768518519,0.147572816,FS,Split-Finger,32.7,-33.3,-0.6,-2,7.6,-8.9,-1.3,-15,0.45,0.35
2024,"Sauer, Matt",669422,Royals,KC,R,85.7,76,327,3,0.232415902,SL,Slider,30.2,-35.6,-5.4,-15,7.7,5,2.6,52,0.019736842,0.796052632
2024,"Reid-Foley, Sean",656887,Mets,NYM,R,88.7,76,385,3.564814815,0.197402597,CH,Changeup,32.1,-30.6,1.5,5,10.4,-14.3,-3.9,-27,0.691358025,0.028806584
2024,"Soriano, José",667755,Angels,LAA,R,91.6,76,1480,13.7037037,0.051351351,SL,Slider,28.5,-28.7,-0.2,-1,0.3,3.4,-3,-90,0.4375,0.154605263
2024,"Barlow, Scott",605130,Guardians,CLE,R,91.7,75,779,7.280373832,0.096277279,SI,Sinker,27.8,-24.9,2.9,12,11.6,-15.1,-3.5,-23,0.841155235,0.068592058
2024,"Hentges, Sam",656529,Guardians,CLE,L,87.9,75,351,3.280373832,0.213675214,SL,Slider,31.7,-33.2,-1.5,-4,2.7,4.1,-1.4,-34,0.292763158,0.381578947
2024,"Montero, Keider",672456,Tigers,DET,R,79.1,75,594,5.449541284,0.126262626,CU,Curveball,54.9,-53.5,1.4,3,13.2,9.3,3.8,41,0.507537688,0.849246231
2024,"Bido, Osvaldo",674370,Athletics,OAK,R,87.2,75,469,4.263636364,0.159914712,FC,Cutter,28.8,-28.6,-0.2,-1,0.2,3.1,-3.3,-105,0.5125,0.0625
2024,"Herrin, Tim",682120,Guardians,CLE,L,94,75,680,6.355140187,0.110294118,SI,Sinker,27.8,-23,4.8,21,15.4,-15.1,0.4,2,0.945848375,0.505415162
2024,"Megill, Tylor",656731,Mets,NYM,R,84.4,75,836,7.740740741,0.089712919,FS,Split-Finger,41.9,-34.9,6.9,20,4.2,-9.2,-5.1,-55,1,0.016666667
2024,"Devenski, Chris",606965,Rays,TB,R,85.2,74,533,4.935185185,0.138836773,FC,Cutter,31.8,-30.4,-1.5,-5,3,3.8,-0.8,-20,0.28125,0.3375
2024,"Walker, Taijuan",592836,Phillies,PHI,R,74.6,74,850,7.87037037,0.087058824,CU,Curveball,59.4,-61.2,-1.8,-3,7.1,9.9,-2.9,-29,0.271356784,0.155778894
2024,"Mazur, Adam",800049,Padres,SD,R,80.7,74,584,5.309090909,0.126712329,CU,Curveball,53.7,-51.5,2.1,4,4.6,8.1,-3.5,-43,0.552763819,0.135678392
2024,"Leahy, Kyle",681517,Cardinals,STL,R,85.1,74,506,4.685185185,0.146245059,ST,Sweeper,35.1,-35.9,-0.8,-2,16.2,12.6,3.6,29,0.358333333,0.95
2024,"Stripling, Ross",548389,Athletics,OAK,R,75.4,73,1051,9.554545455,0.069457659,CU,Curveball,61.4,-61.1,0.4,1,6.6,7,-0.4,-6,0.40201005,0.457286432
2024,"Pop, Zach",647315,Blue Jays,TOR,R,86.4,73,498,4.568807339,0.146586345,SL,Slider,39.1,-34.7,4.4,13,6.8,4.8,1.9,40,0.921052632,0.736842105
2024,"Bird, Jake",656234,Rockies,COL,R,81.4,73,431,3.95412844,0.16937355,CU,Curveball,50.6,-49.8,0.7,1,14.9,9.5,5.3,56,0.422110553,0.934673367
2024,"Jax, Griffin",643377,Twins,MIN,R,96.6,73,741,6.925233645,0.09851552,SI,Sinker,19.1,-21.6,-2.5,-11,15,-15.3,-0.3,-2,0.238267148,0.324909747
2024,"Zerpa, Angel",672582,Royals,KC,L,88.5,73,674,6.183486239,0.108308605,CH,Changeup,28.3,-30.9,-2.5,-8,13.6,-15.1,-1.5,-10,0.230452675,0.176954733
2024,"Garrett, Braxton",666129,Marlins,MIA,L,83.1,73,588,5.444444444,0.12414966,CH,Changeup,39.9,-33.3,6.6,20,14.9,-13.7,1.2,9,0.979423868,0.650205761
2024,"Lynch IV, Daniel",663738,Royals,KC,L,84.1,73,351,3.220183486,0.207977208,CH,Changeup,33.3,-31.8,1.5,5,14,-13.8,0.2,1,0.691358025,0.444444444
2024,"Medina, Luis",665622,Athletics,OAK,R,81.2,73,720,6.545454545,0.101388889,CU,Curveball,54.3,-51.1,3.2,6,9.6,7.7,1.8,23,0.688442211,0.693467337
2024,"Leiter Jr., Mark",643410,Yankees,NYY,R,73.5,73,622,5.654545455,0.117363344,CU,Curveball,67.9,-63,4.9,8,8.9,11.4,-2.6,-23,0.834170854,0.201005025
2024,"Suarez, José",660761,Angels,LAA,L,85.1,73,712,6.592592593,0.10252809,SL,Slider,32.1,-36.4,-4.2,-12,4.6,5.7,-1.1,-20,0.055921053,0.414473684
