year,"last_name, first_name",player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,"Ragans, Cole",666142,L,CH,365,86.6,2056,19,0.910794042,0.994141728,121.9909121,120.1442841,Changeup,99,120,120,1.846627927,1.846627927,0,2,0,2,0,0,0,2:00,2:00, 0H 00M
,"Ober, Bailey",641927,R,CH,651,83.7,2083,18.5,0.883381315,0.994149588,250.6348942,258.1359394,Changeup,99,585,570,-7.501045183,7.501045183,15,9,45,9,30,0,15,9:45,9:30,+0H 15M
,"Matz, Steven",571927,L,CH,485,84.1,2306,14.4,0.659688584,0.832428975,91.3689495,85.90184008,Changeup,83,180,195,5.467109417,5.467109417,-15,3,0,3,15,0,15,3:00,3:15,-0H 15M
,"Kremer, Dean",665152,R,CH,354,85.3,1715,16.8,0.856217481,0.950661069,246.0772436,257.794997,Changeup,95,585,570,-11.71775343,11.71775343,15,9,45,9,30,0,15,9:45,9:30,+0H 15M
,"Gibson, Kyle",502043,R,CH,471,85.5,1677,14.9,0.770529387,0.792841318,223.085944,259.089403,Changeup,79,630,555,-36.00345899,36.00345899,75,10,30,9,15,1,15,10:30,9:15,+1H 15M
,"France, J.P.",641585,R,CH,331,81.8,1867,18.1,0.870296733,0.98609858,232.2486082,242.0586095,Changeup,99,615,600,-9.81000123,9.81000123,15,10,15,10,0,0,15,10:15,10:00,+0H 15M
,"Elder, Bryce",693821,R,CH,377,85,2068,12.1,0.586357564,0.654841628,219.5525306,260.1748331,Changeup,65,645,555,-40.62230259,40.62230259,90,10,45,9,15,1,30,10:45,9:15,+1H 30M
,"Davies, Zach",605200,R,CH,364,80.7,1769,16.5,0.831179644,0.993965793,246.6084971,250.9260557,Changeup,99,585,585,-4.317558557,4.317558557,0,9,45,9,45,0,0,9:45,9:45, 0H 00M
,"Wood, Alex",622072,L,CH,429,85.1,1692,15.9,0.817972243,0.967613659,86.94603066,82.22727826,Changeup,97,180,195,4.718752399,4.718752399,-15,3,0,3,15,0,15,3:00,3:15,-0H 15M
,"Gallen, Zac",668678,R,CH,380,86.9,1518,13.8,0.776823637,0.861291511,223.2307951,256.1494108,Changeup,86,630,570,-32.91861579,32.91861579,60,10,30,9,30,1,0,10:30,9:30,+1H 00M
,"Miley, Wade",489119,L,CH,450,83.7,1813,17.4,0.87299258,0.883164759,133.9712217,110.2838033,Changeup,88,90,135,23.68741846,23.68741846,-45,1,30,2,15,0,45,1:30,2:15,-0H 45M
,"Morgan, Eli",669212,R,CH,373,78.6,2038,17.6,0.807113692,0.924830396,259.240715,263.4980053,Changeup,92,555,555,-4.257290287,4.257290287,0,9,15,9,15,0,0,9:15,9:15, 0H 00M
,"Nola, Aaron",605400,R,CH,386,85.9,1558,16.1,0.87642728,0.992549447,249.9976075,259.0339365,Changeup,99,585,555,-9.036329029,9.036329029,30,9,45,9,15,0,30,9:45,9:15,+0H 30M
,"Webb, Logan",657277,R,CH,1246,87.5,1476,13.6,0.763141158,0.863998719,267.3607457,298.8603148,Changeup,86,540,480,-31.4995691,31.4995691,60,9,0,8,0,1,0,9:00,8:00,+1H 00M
,"Wentz, Joey",666214,L,CH,335,85,2107,19.7,0.91772427,0.987266422,117.0300325,118.824422,Changeup,99,120,120,-1.794389474,1.794389474,0,2,0,2,0,0,0,2:00,2:00, 0H 00M
,"Brito, Jhony",666745,R,CH,419,88.8,1673,18.1,0.94436743,0.985319544,237.0922575,250.11211,Changeup,99,600,585,-13.01985255,13.01985255,15,10,0,9,45,0,15,10:00,9:45,+0H 15M
,"Sears, JP",676664,L,CH,429,84.1,1715,17.7,0.896996217,0.989799573,102.7021224,95.24764084,Changeup,99,150,165,7.454481538,7.454481538,-15,2,30,2,45,0,15,2:30,2:45,-0H 15M
,"Sánchez, Cristopher",650911,L,CH,474,81.8,1887,18.6,0.899779107,0.939882994,98.73368937,78.35540341,Changeup,94,165,210,20.37828597,20.37828597,-45,2,45,3,30,0,45,2:45,3:30,-0H 45M
,"Rodriguez, Grayson",680570,R,CH,471,83.9,1851,13.3,0.650764057,0.839189344,260.2425217,265.6098382,Changeup,84,555,555,-5.367316508,5.367316508,0,9,15,9,15,0,0,9:15,9:15, 0H 00M
,"Rodriguez, Eduardo",593958,L,CH,440,85.9,1879,17.6,0.87014364,0.874646784,131.7148847,103.5692105,Changeup,87,90,150,28.14567414,28.14567414,-60,1,30,2,30,1,0,1:30,2:30,-1H 00M
,"Montgomery, Jordan",656756,L,CH,663,83.5,1674,15.2,0.792159181,0.974886371,133.1728909,140.5668013,Changeup,97,90,75,-7.393910361,7.393910361,15,1,30,1,15,0,15,1:30,1:15,+0H 15M
,"Sandoval, Patrick",663776,L,CH,663,83,1781,17.5,0.87267255,0.98101714,117.2317063,120.9427879,Changeup,98,120,120,-3.711081597,3.711081597,0,2,0,2,0,0,0,2:00,2:00, 0H 00M
,"Middleton, Keynan",641871,R,CH,364,87.7,1875,15.8,0.79326923,0.848200298,223.7610731,250.1654823,Changeup,85,630,585,-26.40440912,26.40440912,45,10,30,9,45,0,45,10:30,9:45,+0H 45M
,"McClanahan, Shane",663556,L,CH,466,86.9,1605,18.1,0.959988712,0.986148548,118.7951725,106.5987961,Changeup,99,120,150,12.19637642,12.19637642,-30,2,0,2,30,0,30,2:00,2:30,-0H 30M
,"Lorenzen, Michael",547179,R,CH,508,84.5,2093,18.6,0.878403448,0.985260873,239.563129,244.5884146,Changeup,99,600,585,-5.025285609,5.025285609,15,10,0,9,45,0,15,10:00,9:45,+0H 15M
,"Williams, Trevor",592866,R,CH,418,83.3,1687,15.2,0.783471008,0.90188739,243.4175521,263.8024951,Changeup,90,600,555,-20.38494308,20.38494308,45,10,0,9,15,0,45,10:00,9:15,+0H 45M
,"Richards, Trevor",670950,R,CH,758,82.5,2572,16.5,0.699651159,0.685192555,253.6671017,264.8313306,Changeup,69,570,555,-11.16422896,11.16422896,15,9,30,9,15,0,15,9:30,9:15,+0H 15M
,"Germán, Domingo",593334,R,CH,339,85.8,2392,19.9,0.872560266,0.888643191,226.8154766,245.9055074,Changeup,89,630,585,-19.09003077,19.09003077,45,10,30,9,45,0,45,10:30,9:45,+0H 45M
,"Suárez, Ranger",624133,L,CU,378,75.8,2175,17.7,0.779172274,0.872947278,312.8528818,318.0401398,Curveball,87,450,450,-5.187258084,5.187258084,0,7,30,7,30,0,0,7:30,7:30, 0H 00M
,"Gray, Sonny",543243,R,CU,462,79.5,2645,22.1,0.920038325,0.912491108,27.70704866,37.82006632,Curveball,91,300,285,-10.11301767,10.11301767,15,5,0,4,45,0,15,5:00,4:45,+0H 15M
,"Irvin, Jake",663623,R,CU,646,80.9,2408,15.1,0.653323597,0.709451297,56.40465989,61.19672579,Curveball,71,240,240,-4.792065904,4.792065904,0,4,0,4,0,0,0,4:00,4:00, 0H 00M
,"Lange, Alex",656638,R,CU,658,87,2238,5.8,0.269610742,0.278496147,35.50555519,351.3971737,Curveball,28,285,375,44.10838154,44.10838154,-90,4,45,6,15,1,30,4:45,6:15,-1H 30M
